Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
O. Wojtczak,Śląsk Wrocław II,Poland III,Reserve / B Team,21.0,Poland,right,1938,0,99.31,8.36,85.64,6.13,8.23,12.21,71.69,34.38
J. Lesniewski,Łódzki KS II,Poland III,Reserve / B Team,19.0,Poland,right,1199,0,84.68,6.68,80.91,5.1,6.62,10.66,60.87,62.26
J. Chodera,Śląsk Wrocław II,Poland III,Reserve / B Team,19.0,Poland,,1286,0,74.46,5.67,82.14,5.32,7.24,10.08,63.74,44.74
N. Viher,Maribor U19,Slovenia,Youth Academy,18.0,Slovenia,unknown,2243,0,6.69,3.93,84.1,3.33,5.12,6.86,58.39,40.0
E. Pettersen,Sandefjord II,Norway,Reserve / B Team,19.0,Norway,,725,0,5.27,3.6,81.55,2.86,3.75,7.7,62.26,31.58
